A Liga,2024,5.4/10,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
Pisque Duas Vezes,2024,6.9/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"
O Corvo,2024,4.7/10,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
Jackpot - Loteria Mortal!,2024,5.8/10,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot."
Longlegs: Vínculo Mortal,2024,6.9/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
É Assim que Acaba,2024,6.7/10,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to mak... Read all"
Deadpool & Wolverine,2024,8.0/10,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Twisters,2024,6.7/10,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
Furiosa: Uma Saga Mad Max,2024,7.6/10,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Alien: Romulus,2024,7.4/10,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Borderlands: O Destino do Universo Está em Jogo,2024,4.4/10,"Based on the best-selling videogame, this all-star action-adventure follows a ragtag team of misfits on a mission to save a missing girl who holds the key to unimaginable power."
Stree 2: Sarkate Ka Aatank,2024,7.7/10,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his frien... Read all"
Alien - O 8º Passageiro,1979,8.5/10,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Alien: Covenant,2017,6.4/10,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Divertida Mente 2,2024,7.7/10,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to th... Read all"
Armadilha,2024,6.1/10,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Os Provocadores,2024,6.2/10,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
Prometheus,2012,7.0/10,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Oddity,2024,6.7/10,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
Planeta dos Macacos: O Reinado,2024,6.9/10,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all"
Aliens: O Resgate,1986,8.4/10,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Horizon: An American Saga - Chapter 1,2024,6.8/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Guerra Sem Regras,2024,6.8/10,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
